Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Surface Water,0.045,86,1700,0.17,0.023,0.019,23.2,6.8,0.73,0.13,<0.001,1.4,0.24,0.54,1.4,6.1,7.6
Middle Water,0.036,86,1100,0.17,0.025,0.02,23.2,7.3,0.65,0.12,<0.001,1.6,0.23,0.45,0.5,6.1,7.4
Bottom Water,0.038,87,1500,0.13,0.022,0.012,23.2,6.6,0.6,0.12,<0.001,1.4,0.19,0.45,0.5,6.1,7.2
Surface Water,0.066,73,130,0.013,0.007,<0.002,22.5,1.3,0.82,0.05,<0.001,0.9,0.09,0.8,0.5,5.2,7.5
Middle Water,0.067,86,220,0.073,0.01,0.01,22.6,6.6,0.6,0.06,<0.001,1.2,0.15,0.52,1.1,6.1,7.5
Bottom Water,0.069,86,200,0.039,0.01,<0.002,22.6,11,0.67,0.06,<0.001,2.4,0.12,0.62,0.8,6.2,7.5
Surface Water,0.028,75,260,0.027,0.02,<0.002,18.3,11,0.62,0.07,<0.001,2.3,0.08,0.57,1,5.8,7.8
Middle Water,0.032,92,360,0.037,0.022,0.012,18.2,6.5,0.69,0.07,<0.001,1.4,0.09,0.63,0.8,7.1,7.6
Bottom Water,0.036,92,250,0.026,0.02,<0.002,18.2,5.8,0.65,0.07,<0.001,1.1,0.08,0.6,0.8,7.1,7.4
Surface Water,0.095,72,350,0.095,0.009,0.016,18.5,6.9,0.39,0.08,<0.001,1.4,0.2,0.29,1.4,5.6,7.4
Middle Water,0.081,95,440,0.08,0.008,0.016,18.2,4.4,0.67,0.05,<0.001,1.1,0.17,0.58,1.4,7.3,7.4
Bottom Water,0.07,95,340,0.069,0.007,0.014,18.1,10,0.62,0.05,<0.001,1.5,0.15,0.54,1.4,7.4,7.4
Surface Water,0.059,84,26,0.059,0.012,0.004,18.9,1.2,0.76,0.05,<0.001,0.8,0.13,0.69,0.6,6.4,7.8
Middle Water,0.057,93,110,0.042,0.011,0.004,18.6,2.2,0.58,0.05,<0.001,2.1,0.11,0.53,0.5,7.1,7.6
Bottom Water,0.039,93,390,<0.002,<0.002,0.002,18.6,0.7,0.58,0.05,<0.001,0.6,0.04,0.58,0.8,7.1,7.4
Surface Water,0.088,89,82,0.057,0.004,<0.002,22.3,4.2,0.74,0.05,<0.001,0.9,0.15,0.68,2.5,6.3,7.4
Middle Water,0.058,89,330,0.04,<0.002,0.004,22.1,7.3,0.39,0.04,<0.001,1.6,0.1,0.35,0.6,6.4,7.3
Bottom Water,0.048,90,71,0.039,0.005,<0.002,22.1,4.2,0.64,0.04,<0.001,1.2,0.09,0.6,0.7,6.4,7.2
Surface Water,0.063,74,130,0.059,0.008,<0.002,24.2,2.9,0.76,0.05,0.001,0.7,0.13,0.69,1.7,5.1,7.7
Middle Water,0.052,88,90,0.059,0.008,<0.002,24.2,3.4,0.79,0.05,<0.001,0.9,0.12,0.72,0.9,6.1,7.5
Bottom Water,0.036,89,130,0.029,0.005,<0.002,24.3,5,0.72,0.05,<0.001,1.4,0.07,0.69,0.7,6.2,7.5
Surface Water,0.11,111,260,0.12,0.026,0.014,27.8,10,1.25,0.06,0.006,2.1,0.26,1.1,4.8,7.3,8.0
Middle Water,0.076,68,500,0.11,0.03,0.014,25.6,5.8,0.92,0.04,0.003,1.2,0.22,0.78,3.6,4.6,8.0
Bottom Water,0.027,67,390,0.046,0.035,0.025,25.1,7.7,0.97,0.04,0.001,1.3,0.11,0.89,1.1,4.6,8.0
Surface Water,0.11,53,340,0.078,0.014,0.012,27.4,2.6,0.34,0.06,0.005,0.9,0.2,0.25,0.5,3.5,8.0
Middle Water,0.088,64,190,0.054,0.015,<0.002,26.9,6.4,0.28,0.05,0.005,1.8,0.16,0.21,<0.2,4.2,8.0
Bottom Water,0.077,62,330,0.033,0.011,0.003,26.6,4.8,0.28,0.05,0.004,0.7,0.12,0.24,0.2,4.1,8.0
Surface Water,0.097,103,4400,0.13,0.027,0.013,27.9,11,0.43,0.05,0.003,1.9,0.25,0.27,5.3,6.8,7.8
Middle Water,0.033,55,470,0.12,0.016,0.012,24.8,12,0.36,0.05,<0.001,1.8,0.17,0.22,1.7,3.8,7.8
Bottom Water,0.034,51,160,0.13,0.015,0.016,24.4,12,0.32,0.05,<0.001,1.9,0.18,0.17,2.4,3.5,7.8
Surface Water,0.13,104,9800,0.15,0.043,0.029,26.7,5,0.49,0.1,0.003,1.2,0.32,0.3,0.7,7.0,7.7
Middle Water,0.026,59,2600,0.052,0.019,0.003,26.0,4.7,0.23,0.07,<0.001,0.9,0.1,0.16,0.6,4.0,7.8
Bottom Water,0.043,81,1100,0.04,0.017,<0.002,26.0,6,0.25,0.09,0.001,1.8,0.1,0.19,0.7,5.5,7.9
Surface Water,0.048,63,220,0.047,0.009,0.007,29.1,7,0.27,0.06,0.002,2.1,0.1,0.21,2.7,4.0,7.8
Middle Water,0.045,88,260,0.034,0.007,0.007,29.3,7.6,0.23,0.06,0.002,2.4,0.09,0.19,2.1,5.6,7.8
Bottom Water,0.026,88,20,0.007,0.004,0.003,29.3,9.6,0.26,0.06,0.001,3.2,0.04,0.25,1.9,5.7,7.9
Surface Water,0.047,100,680,0.11,0.038,0.014,26.5,4.2,0.32,0.05,0.001,1.4,0.2,0.17,6.6,6.7,7.6
Middle Water,0.05,70,560,0.1,0.034,0.013,26.3,3.1,0.33,0.05,0.001,1,0.18,0.2,4.6,4.7,7.7
Bottom Water,<0.005,97,250,0.075,0.024,0.008,26.3,8,0.26,0.05,<0.001,2.1,0.1,0.16,4.3,6.5,7.8
Surface Water,0.088,115,1000,0.095,0.03,0.019,22.8,3.2,0.54,0.07,0.003,0.9,0.21,0.41,1.3,8.2,7.9
Middle Water,0.091,71,450,0.088,0.031,0.015,23.6,1.8,0.53,0.08,0.003,0.6,0.21,0.41,0.6,5.0,8.0
Bottom Water,0.069,87,1100,0.076,0.029,0.016,23.6,6.8,0.52,0.09,0.003,1.3,0.17,0.41,0.7,6.1,8.1
Surface Water,0.095,78,500,0.17,0.018,0.034,19.3,2.7,0.8,0.08,0.003,0.5,0.28,0.61,0.9,5.9,8.0
Middle Water,0.083,86,590,0.14,0.014,0.03,19.7,3.8,0.76,0.08,0.003,0.7,0.24,0.61,0.3,6.5,8.0
