Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Surface Water,0.23,93,11000,0.11,0.014,0.027,19.1,17,0.63,0.04,0.008,2.7,0.35,0.51,1.2,7.1,8.1
Middle Water,0.18,77,8600,0.094,0.012,0.025,19.0,16,0.85,0.03,0.007,2.3,0.29,0.74,1.1,5.9,8.1
Bottom Water,0.2,84,7300,0.093,0.012,0.018,19.0,8.8,0.94,0.03,0.008,1.4,0.31,0.83,1.2,6.4,8.1
Surface Water,0.12,80,420,0.052,0.009,0.019,19.5,3.8,0.34,0.05,0.002,0.8,0.18,0.28,1.9,6.1,7.7
Middle Water,0.12,85,860,0.052,0.009,0.018,19.6,3.9,0.58,0.06,0.002,1,0.18,0.52,1.9,6.4,7.8
Bottom Water,0.11,87,840,0.074,0.01,0.026,19.6,3.8,0.54,0.05,0.003,0.9,0.19,0.46,1.7,6.6,7.9
Surface Water,0.2,86,790,0.12,0.011,0.007,22.2,11,0.83,0.04,0.003,2,0.33,0.7,0.5,6.2,7.6
Middle Water,0.18,68,810,0.11,0.011,0.013,22.3,9.4,1.0,0.04,0.003,1.5,0.3,0.88,0.4,4.9,7.6
Bottom Water,0.17,80,780,0.11,0.01,0.007,22.2,11,0.67,<0.02,0.003,1.7,0.29,0.55,0.5,5.7,7.6
Surface Water,0.19,90,980,0.13,0.012,0.006,24.8,11,0.58,0.03,0.005,2.4,0.33,0.44,3,6.2,7.8
Middle Water,0.17,71,1000,0.12,0.011,0.006,24.7,9.5,0.48,0.05,0.005,1.7,0.3,0.35,2.4,4.9,7.8
Bottom Water,0.16,75,970,0.11,0.012,0.006,24.2,8.5,0.75,0.04,0.004,1.6,0.28,0.63,1.9,5.2,7.8
Surface Water,0.18,66,4500,0.41,0.092,0.013,26.6,5.9,0.75,0.04,0.004,1.2,0.68,0.25,1,4.6,7.7
Middle Water,0.13,66,3100,0.36,0.088,0.007,26.3,9.9,0.62,0.03,0.003,1.7,0.58,0.17,<0.2,4.6,7.7
Bottom Water,0.11,63,5400,0.36,0.089,0.01,25.2,6.6,0.67,0.04,0.003,1.6,0.56,0.22,0.5,4.4,7.7
Surface Water,0.049,110,220,0.38,0.036,0.009,27.5,4.1,0.66,0.03,0.006,1.7,0.47,0.24,21,7.5,8.4
Middle Water,0.2,100,21000,0.27,0.037,0.012,27.0,3.8,0.98,0.05,0.013,1.3,0.51,0.67,13,6.9,8.1
Bottom Water,0.18,30,7500,0.24,0.034,0.013,23.1,5.5,0.9,0.06,0.006,1.7,0.45,0.63,12,4.7,7.9
Surface Water,0.1,92,480,0.23,0.041,0.005,28.7,6.7,0.96,0.04,0.007,1.9,0.37,0.69,6,6.2,8.1
Middle Water,0.098,87,1100,0.23,0.041,0.006,28.6,7.8,1.12,0.05,0.005,1.8,0.37,0.85,5.3,5.8,8.0
Bottom Water,0.17,51,710,0.2,0.028,0.022,26.8,12,1.14,0.06,0.004,3,0.4,0.91,3.8,3.4,7.7
Surface Water,0.16,65,1000,0.15,0.025,0.028,28.7,13,0.65,0.08,0.006,2.8,0.34,0.47,0.6,4.2,7.8
Middle Water,0.16,72,2700,0.13,0.025,0.025,28.8,12,0.69,0.07,0.006,2,0.32,0.53,1,4.7,7.8
Bottom Water,0.15,71,750,0.13,0.024,0.027,28.8,14,0.73,0.07,0.006,2,0.3,0.58,0.6,4.6,7.9
Surface Water,0.19,69,2400,0.12,0.023,0.026,29.0,3,1.24,0.08,0.009,0.8,0.33,1.1,1.4,4.5,7.9
Middle Water,0.19,73,1300,0.12,0.022,0.027,29.0,3.7,1.44,0.08,0.009,0.9,0.33,1.3,1,4.7,7.9
Bottom Water,0.19,73,3700,0.12,0.023,0.028,29.0,3.2,1.34,0.09,0.009,0.8,0.33,1.2,0.9,4.7,7.9
Surface Water,0.057,82,130,0.097,0.03,0.02,24.6,1.4,1.1,0.04,0.002,<0.5,0.18,0.97,3.8,5.6,7.9
Middle Water,0.048,84,260,0.093,0.029,0.02,24.5,2.5,0.79,0.07,0.001,1.3,0.17,0.67,3.5,5.8,7.8
Bottom Water,0.045,90,190,0.093,0.037,0.019,24.5,2.6,0.58,0.05,0.001,0.6,0.18,0.45,2.2,6.2,7.8
Surface Water,0.06,87,250,0.13,0.018,0.016,22.3,10,0.91,0.06,0.001,1.7,0.21,0.76,3.2,6.3,7.8
Middle Water,0.054,94,250,0.13,0.019,0.016,22.5,11,0.72,0.05,0.001,2,0.2,0.57,3.6,6.7,7.8
Bottom Water,0.057,95,220,0.12,0.017,0.016,22.4,10,0.96,0.08,0.001,2.1,0.19,0.82,3.8,6.8,7.8
Surface Water,0.14,71,380,0.26,0.008,0.008,18.4,1.7,0.93,0.08,0.002,0.6,0.41,0.66,3.3,5.5,7.7
Middle Water,0.15,70,290,0.26,0.007,0.03,18.4,2.6,1.18,0.08,0.002,0.6,0.42,0.91,3.4,5.5,7.7
Bottom Water,0.096,73,430,0.26,0.008,0.022,18.4,2.4,1.16,0.08,0.001,0.6,0.36,0.89,4.8,5.7,7.7
Surface Water,0.13,67,180,0.046,0.01,0.014,19.8,1.3,0.5,0.06,0.002,<0.5,0.19,0.44,0.8,5.0,7.7
Middle Water,0.12,66,190,0.046,0.01,0.015,19.8,1.7,0.42,0.31,0.002,<0.5,0.18,0.36,0.6,5.0,7.7
Bottom Water,0.11,73,190,0.04,0.009,0.014,19.8,1.5,0.37,0.27,0.002,<0.5,0.16,0.32,0.6,5.5,7.7
Surface Water,0.11,65,210,0.04,0.01,0.014,20.1,5.9,1.05,0.07,0.002,0.8,0.16,1,1.1,4.9,7.7
Middle Water,0.11,66,190,0.035,0.015,0.015,20.3,4.2,0.91,0.06,0.002,0.8,0.16,0.86,0.7,4.9,7.7
Bottom Water,0.11,73,220,0.041,0.01,0.015,20.3,4.1,0.74,0.05,0.002,0.7,0.16,0.69,0.4,5.5,7.7
Surface Water,0.16,68,120,0.068,0.006,0.022,23.6,2.7,0.93,0.06,0.002,<0.5,0.23,0.86,1.9,4.7,7.5
Middle Water,0.15,61,350,0.061,0.006,0.021,23.6,2.3,1.04,0.06,0.002,<0.5,0.22,0.97,1.4,4.3,7.5
Bottom Water,0.16,67,310,0.078,0.006,0.023,23.5,2.7,1.38,0.08,0.002,0.6,0.24,1.3,1.9,4.7,7.5
Surface Water,0.16,65,330,0.097,0.012,0.023,24.6,1.4,0.9,0.06,0.002,<0.5,0.27,0.79,1.5,4.5,7.4
Middle Water,0.15,60,800,0.086,0.011,0.021,24.6,2.5,1.02,0.05,0.001,0.5,0.25,0.92,1.1,4.2,7.4
Bottom Water,0.11,63,510,0.067,0.01,0.017,24.5,5.1,0.44,0.07,0.001,0.9,0.19,0.36,0.9,4.4,7.4
Surface Water,0.15,84,510,0.11,0.049,0.018,25.4,5,0.39,0.07,0.002,1,0.31,0.23,3.5,5.7,7.5
Middle Water,0.15,70,730,0.11,0.05,0.017,25.3,5,0.69,0.08,0.002,0.9,0.31,0.53,3.3,4.8,7.5
Bottom Water,0.15,81,920,0.11,0.05,0.016,25.3,3.5,0.59,0.07,0.002,0.8,0.31,0.43,3.6,5.6,7.5
Surface Water,0.114,72,770,0.087,0.032,0.023,20.2,12,0.67,0.04,0.001,1.6,0.23,0.55,0.7,5.3,7.6
Middle Water,0.11,79,1200,0.089,0.032,0.023,20.5,5,1.11,0.05,0.001,0.9,0.23,0.99,0.3,5.8,7.6
Bottom Water,0.14,78,1600,0.087,0.032,0.023,20.5,2.8,1.08,0.06,0.002,<0.5,0.26,0.96,0.7,5.8,7.6
Surface Water,0.17,94,7000,0.093,0.035,0.027,20.3,8,1.23,0.04,0.002,1.4,0.3,1.1,0.7,7.0,7.5
Middle Water,0.17,71,7000,0.094,0.035,0.027,20.2,5.4,0.83,0.04,0.002,0.9,0.3,0.7,0.5,5.3,7.5
Bottom Water,0.18,78,9900,0.089,0.035,0.027,20.2,5.8,0.87,0.09,0.002,1,0.3,0.75,1,5.8,7.5
Surface Water,0.075,90,240,0.081,0.014,0.019,17.5,4.2,0.9,0.04,<0.001,1.1,0.17,0.8,0.7,7.1,7.3
Middle Water,0.068,86,240,0.084,0.013,0.019,17.7,4.1,0.81,0.03,<0.001,0.7,0.17,0.71,0.4,6.7,7.4
Bottom Water,0.072,87,260,0.082,0.014,0.019,17.7,4.4,0.78,0.03,<0.001,0.8,0.17,0.68,0.5,6.8,7.4
Surface Water,0.1,84,550,0.006,0.002,<0.002,19.9,2.8,0.47,0.05,0.001,<0.5,0.11,0.46,0.5,6.4,7.7
Middle Water,0.095,76,730,0.044,0.01,<0.002,19.8,3.4,0.63,0.03,0.001,0.6,0.15,0.58,0.6,5.8,7.7
Bottom Water,0.093,88,1000,0.039,0.007,0.006,19.7,3,0.34,0.02,0.001,<0.5,0.14,0.29,0.3,6.7,7.7
Surface Water,0.2,103,3500,0.074,0.009,0.013,22.1,4.7,0.71,0.04,0.011,0.7,0.28,0.63,0.4,7.5,8.2
Middle Water,0.19,70,2800,0.057,0.009,0.013,22.1,3.8,0.48,0.04,0.011,0.7,0.26,0.41,0.3,5.1,8.2
Bottom Water,0.17,74,3100,0.046,0.009,<0.002,22.1,6,0.41,0.03,0.01,0.8,0.23,0.35,0.5,5.4,8.2
Surface Water,0.061,81,40,0.073,0.018,0.012,24.6,8,0.55,0.04,0.003,2.1,0.15,0.46,10,5.6,8.1
Middle Water,0.06,104,30,0.055,0.017,<0.002,24.4,9.4,0.56,0.04,0.003,3.5,0.13,0.49,10,7.2,8.1
Bottom Water,0.06,100,60,0.031,0.011,<0.002,24.3,8.2,0.71,0.04,0.003,2.1,0.1,0.67,6.9,6.9,8.1
Surface Water,0.067,99,4100,0.49,0.013,<0.002,27.7,4.3,0.68,0.03,0.004,1.8,0.57,0.18,21,6.8,8.0
Middle Water,0.081,89,2500,0.43,0.013,<0.002,27.1,3,0.64,0.05,0.004,0.9,0.52,0.2,14,6.1,7.9
Bottom Water,0.072,72,1300,0.24,0.011,0.011,26.0,3.1,0.34,0.03,0.003,2,0.32,0.09,6.2,4.9,7.9
Surface Water,0.08,94,20000,0.27,0.014,<0.002,28.4,2.7,0.64,0.04,0.007,1.8,0.36,0.36,25,6.3,8.2
Middle Water,0.074,97,19000,0.27,0.016,<0.002,28.1,4.4,0.72,0.04,0.006,2.2,0.36,0.43,23,6.5,8.1
Bottom Water,0.089,89,12000,0.25,0.017,0.012,25.0,1.7,0.44,0.06,0.003,1.2,0.36,0.17,12,6.2,7.9
Surface Water,0.15,86,4600,0.22,0.025,0.016,26.8,3.1,0.69,0.05,0.005,1.6,0.4,0.44,15,5.8,7.8
Middle Water,0.16,74,4100,0.21,0.022,0.018,26.1,3,0.55,0.05,0.004,1.3,0.39,0.32,13,5.0,7.8
Bottom Water,0.12,61,1500,0.2,0.018,0.019,24.9,11,0.41,0.06,0.003,2.4,0.34,0.19,8.8,4.2,7.7
Surface Water,0.13,67,4400,0.12,0.02,0.011,27.9,5.6,0.54,0.09,0.002,1.3,0.27,0.4,2.9,4.4,7.3
Middle Water,0.13,71,5300,0.12,0.019,0.016,27.9,4.1,0.5,0.07,0.002,1,0.27,0.36,2.9,4.7,7.3
Bottom Water,0.13,71,4900,0.12,0.019,0.014,27.9,5.6,0.68,0.09,0.002,1,0.27,0.54,2.8,4.6,7.3
Surface Water,0.08,76,470,0.077,0.019,<0.002,27.9,4.4,0.79,0.06,0.004,1,0.18,0.69,2.6,4.9,8.0
Middle Water,0.061,84,630,0.068,0.017,0.014,27.9,4.3,0.59,0.06,0.003,0.8,0.15,0.5,2.2,5.5,8.0
Bottom Water,0.056,86,590,0.061,0.017,0.015,27.9,3.2,0.6,0.06,0.003,0.6,0.13,0.52,1.6,5.6,8.0
Surface Water,0.082,69,20,0.18,0.025,0.02,23.6,3.1,0.67,0.1,<0.001,0.8,0.29,0.46,0.9,4.8,7.2
Middle Water,0.084,80,530,0.17,0.025,0.02,23.4,4.6,0.85,0.13,<0.001,1.1,0.28,0.65,0.6,5.6,7.2
Bottom Water,0.1,78,530,0.16,0.025,0.015,23.4,5,0.82,0.13,<0.001,0.8,0.29,0.63,0.5,5.5,7.2
Surface Water,0.1,81,130,0.075,0.013,0.011,22.7,8.6,0.66,0.06,0.001,1.6,0.19,0.57,0.9,5.8,7.5
Middle Water,0.092,83,140,0.062,0.015,<0.002,22.7,5.4,0.47,0.06,0.001,0.8,0.17,0.39,0.7,5.9,7.5
Bottom Water,0.085,83,420,0.058,0.014,0.01,22.6,5.4,0.52,0.06,0.001,1,0.16,0.45,0.6,5.9,7.5
Surface Water,0.074,76,200,0.079,0.031,0.012,18.4,7.1,0.69,0.07,<0.001,2.3,0.18,0.58,1.9,5.8,7.3
Middle Water,0.07,87,210,0.078,0.034,0.018,18.4,5,0.71,0.07,<0.001,1.7,0.18,0.6,1.4,6.7,7.3
Bottom Water,0.081,86,490,0.09,0.032,0.019,18.4,7.4,0.78,0.08,<0.001,1.4,0.2,0.66,0.8,6.6,7.3
Surface Water,0.19,81,120,0.12,0.011,0.021,18.7,5.4,0.5,0.08,0.001,1.4,0.32,0.37,1.2,6.2,7.4
Middle Water,0.18,86,340,0.12,0.01,0.02,18.6,7.6,0.65,0.06,0.001,1.6,0.31,0.52,1.2,6.6,7.4
Bottom Water,0.19,84,510,0.12,0.011,0.018,18.5,7.6,0.76,0.06,0.001,1.3,0.32,0.63,0.8,6.5,7.4
Surface Water,0.13,91,30,0.13,0.021,0.018,19.0,4.5,0.74,0.07,<0.001,1.3,0.28,0.59,0.5,6.9,7.3
Middle Water,0.14,92,40,0.12,0.019,0.019,18.9,0.5,0.73,0.06,<0.001,<0.5,0.28,0.59,0.8,7.0,7.3
Bottom Water,0.13,91,50,0.12,0.019,0.014,18.9,3.4,0.44,0.08,<0.001,1.2,0.27,0.3,0.6,6.9,7.3
Surface Water,0.16,77,450,0.13,0.015,0.009,22.5,6.9,0.69,0.06,<0.001,1.4,0.31,0.54,1.5,5.5,7.1
Middle Water,0.15,81,850,0.12,0.014,0.011,22.4,14,0.6,0.06,<0.001,2.6,0.28,0.47,1,5.8,7.1
Bottom Water,0.15,81,1300,0.11,0.015,0.006,22.3,10,0.91,0.06,<0.001,2,0.28,0.78,0.8,5.8,7.1
Surface Water,0.072,86,540,0.083,0.01,0.019,24.3,8.7,0.86,0.06,<0.001,1.3,0.17,0.77,1,5.9,7.4
Middle Water,0.075,84,1300,0.076,0.011,0.021,24.3,7.7,0.68,0.06,<0.001,1.6,0.16,0.59,0.9,5.8,7.4
Bottom Water,0.073,84,1100,0.078,0.009,<0.002,24.3,11,0.84,0.06,<0.001,3.2,0.16,0.75,0.7,5.8,7.4
Surface Water,0.24,107,1100,0.22,0.031,0.026,28.1,6.6,0.95,0.06,0.012,1.2,0.49,0.7,1.5,7.0,7.9
Middle Water,0.24,155,2600,0.21,0.031,0.026,28.0,10,0.91,0.06,0.012,1.6,0.48,0.67,1.2,10.3,7.9
Bottom Water,0.2,94,1900,0.19,0.03,0.024,27.8,3.7,1.04,0.06,0.01,1,0.42,0.82,1.1,6.2,8.0
Surface Water,0.25,52,1600,0.14,0.026,0.019,27.3,4.2,0.59,0.08,0.01,1.5,0.42,0.42,0.8,3.5,7.9
Middle Water,0.22,53,2800,0.12,0.026,0.019,26.9,7,0.55,0.08,0.009,1.2,0.37,0.4,0.5,3.5,7.9
Bottom Water,0.21,54,1500,0.11,0.023,0.023,27.0,5.7,0.5,0.07,0.009,1.2,0.34,0.37,0.3,3.6,7.9
Surface Water,0.18,64,2000,0.18,0.04,0.02,28.2,5.9,0.54,0.06,0.007,1.2,0.4,0.32,4.5,4.3,7.9
Middle Water,0.18,60,950,0.2,0.04,0.018,27.9,5.1,0.59,0.06,0.007,1.2,0.42,0.35,4.2,4.0,7.8
Bottom Water,0.17,60,2100,0.18,0.039,0.02,27.8,4.6,0.57,0.06,0.006,1,0.39,0.35,4,4.0,7.8
Surface Water,0.13,64,5600,0.14,0.042,0.026,26.1,7.6,0.45,0.1,0.004,1.5,0.31,0.27,0.7,4.4,7.8
Middle Water,0.12,66,7800,0.14,0.04,0.005,26.0,11,0.42,0.1,0.003,2.1,0.3,0.24,0.6,4.5,7.8
Bottom Water,0.12,65,12000,0.14,0.04,0.026,26.0,13,0.47,0.1,0.003,3,0.3,0.29,0.8,4.4,7.8
Surface Water,0.085,82,90,0.078,0.012,0.013,29.5,8.9,0.29,0.07,0.004,2.6,0.18,0.2,0.8,5.3,7.8
Middle Water,0.078,83,320,0.058,0.01,0.01,29.4,11,0.31,0.07,0.003,3.4,0.15,0.24,2.6,5.3,7.9
Bottom Water,0.049,82,520,0.029,0.007,0.007,29.3,13,0.21,0.07,0.002,3,0.09,0.17,0.9,5.3,7.9
Surface Water,0.097,106,430,0.14,0.05,0.025,26.2,5.3,0.42,0.07,0.003,3,0.29,0.23,4.7,7.1,7.8
Middle Water,0.095,119,340,0.15,0.053,0.01,26.4,3.3,0.43,0.07,0.003,0.8,0.3,0.23,5.1,8.0,7.7
Bottom Water,0.1,89,330,0.15,0.052,0.019,26.4,3.4,0.5,0.07,0.003,1.1,0.3,0.3,5.2,6.0,7.7
Surface Water,0.16,107,900,0.12,0.036,0.013,22.5,3.1,0.6,0.07,0.008,0.8,0.32,0.44,1,8.4,8.0
Middle Water,0.16,144,1000,0.12,0.036,0.021,23.7,2.1,0.63,0.12,0.007,<0.5,0.32,0.47,0.4,10.1,8.0
Bottom Water,0.17,151,800,0.12,0.039,0.024,23.6,2.8,0.63,0.1,0.007,0.7,0.33,0.47,<0.2,10.7,8.0
Surface Water,0.28,94,130,0.13,0.015,0.022,19.9,2.4,1.15,0.05,0.012,0.6,0.43,1,0.8,7.1,8.1
Bottom Water,0.28,74,510,0.12,0.014,0.019,19.8,3,0.64,0.04,0.012,0.9,0.41,0.51,0.3,5.6,8.2
Surface Water,0.18,66,36000,0.23,0.049,0.022,25.9,15,0.6,0.07,0.003,2.9,0.46,0.32,0.7,4.7,7.6
Bottom Water,0.19,67,21000,0.17,0.06,0.02,26.1,11,0.62,0.07,0.004,2.2,0.42,0.39,0.4,4.6,7.6
Surface Water,0.23,63,2200,0.18,0.035,0.036,29.1,4.3,0.74,0.09,0.008,1.2,0.45,0.52,0.7,4.1,7.8
Bottom Water,0.22,63,4100,0.17,0.034,0.035,29.1,6,0.81,0.09,0.008,1.8,0.42,0.61,1.3,4.1,7.8
Surface Water,0.066,75,5900,0.062,0.006,0.014,27.5,14,0.98,0.08,0.003,3.8,0.13,0.91,<0.2,4.9,8.0
Bottom Water,0.058,80,3900,0.047,0.006,0.014,27.6,18,0.34,0.07,0.003,3.9,0.11,0.29,0.4,5.3,8.0
Surface Water,0.39,87,7200,0.18,0.022,0.027,24.2,3.1,0.87,0.09,0.008,0.5,0.59,0.67,1.4,6.1,7.7
Bottom Water,0.35,64,9200,0.17,0.021,0.037,24.2,6.4,1.39,0.09,0.007,1.5,0.54,1.2,0.7,4.5,7.7
Surface Water,0.13,67,1100,0.086,0.008,0.02,21.8,14,0.64,0.04,0.002,2.6,0.22,0.55,1.2,4.8,7.7
Bottom Water,0.13,61,2000,0.079,0.007,0.02,21.9,10,0.72,0.06,0.002,1.6,0.22,0.63,0.9,4.4,7.7
Surface Water,0.26,93,49000,0.11,0.028,0.029,24.1,3.3,1.54,0.13,0.003,<0.5,0.4,1.4,2.5,6.5,7.4
Bottom Water,0.26,60,58000,0.11,0.029,0.031,24.3,3.5,0.9,0.05,0.003,<0.5,0.4,0.76,2.8,4.2,7.4
Surface Water,0.16,69,810,0.12,0.019,0.023,19.0,8.3,0.79,0.05,0.002,2.2,0.3,0.65,1.2,5.2,7.5
Bottom Water,0.16,75,1400,0.12,0.02,0.02,19.0,3.2,0.91,0.05,0.002,1,0.3,0.77,1.3,5.7,7.5
Surface Water,0.15,61,2700,0.15,0.01,0.023,25.0,8,0.75,0.06,0.007,2.1,0.31,0.59,0.4,4.2,8.0
Bottom Water,0.14,71,2900,0.12,0.009,0.01,24.9,9.7,0.95,0.05,0.007,2.3,0.27,0.82,0.6,4.9,8.0
Surface Water,0.053,77,800,0.41,0.027,<0.002,29.1,3.6,0.64,0.03,0.004,1.3,0.49,0.2,10,5.2,8.2
Bottom Water,0.066,93,2600,0.39,0.027,<0.002,28.8,4.5,0.64,0.04,0.005,1.2,0.48,0.22,11,6.3,8.1
Surface Water,0.14,92,27000,0.32,0.024,0.031,26.6,3.1,0.7,0.07,0.003,1,0.48,0.36,3.5,6.4,7.5
Bottom Water,0.2,58,9200,0.25,0.027,0.028,26.2,8.9,0.52,0.05,0.003,2.1,0.48,0.24,4.1,4.0,7.5
Surface Water,0.065,66,2100,0.12,0.027,<0.002,28.1,2.2,0.46,0.09,<0.001,0.9,0.21,0.31,5.2,4.3,7.3
Bottom Water,0.063,72,1500,0.092,0.027,0.015,28.1,2.8,0.47,0.08,<0.001,0.6,0.18,0.35,3.6,4.7,7.3
Surface Water,0.073,63,9300,0.15,0.018,0.027,23.6,2.6,0.61,0.08,<0.001,0.8,0.24,0.44,0.7,4.4,7.1
Bottom Water,0.063,82,4800,0.12,0.017,0.021,23.7,2,0.56,0.09,<0.001,0.6,0.2,0.42,0.6,5.8,7.2
Surface Water,0.14,83,1900,0.25,0.021,0.017,17.0,1.9,1.11,0.07,<0.001,0.9,0.41,0.84,1.6,6.6,7.4
Bottom Water,0.12,63,2100,0.24,0.021,0.021,17.0,2.2,1.02,0.07,<0.001,0.8,0.38,0.76,3.2,5.0,7.4
Surface Water,0.12,96,1100,0.12,0.013,0.014,20.8,4.8,0.52,0.07,<0.001,1.7,0.25,0.39,5.3,7.1,7.2
Bottom Water,0.097,99,1100,0.1,0.012,0.015,20.6,4,0.58,0.07,<0.001,1.3,0.21,0.47,6.2,7.3,7.3
Surface Water,0.091,114,440,0.14,0.013,0.004,27.8,3.8,0.98,0.06,0.009,1,0.24,0.83,14,7.6,8.3
Bottom Water,0.078,114,630,0.13,0.013,0.005,27.0,4.2,1.07,0.07,0.007,1.2,0.22,0.93,12,7.6,8.3
Surface Water,0.17,42,4400,0.11,0.022,0.009,26.8,6.8,0.5,0.08,0.007,1.9,0.3,0.37,0.2,2.8,7.9
Bottom Water,0.15,50,1400,0.11,0.024,0.013,26.6,8.4,0.48,0.07,0.006,2.4,0.28,0.35,0.8,3.3,7.9
Surface Water,0.079,116,1400,0.25,0.041,<0.002,29.4,8.4,0.75,0.06,0.005,2.4,0.37,0.46,16,7.5,8.0
Bottom Water,0.087,145,2300,0.22,0.038,<0.002,28.5,7.7,0.72,0.07,0.005,1.5,0.35,0.46,17,9.6,8.0
Surface Water,0.12,113,3400,0.11,0.027,0.021,24.0,5.5,0.36,0.1,0.003,0.9,0.26,0.22,2.1,8.3,7.8
Bottom Water,0.13,142,6000,0.089,0.027,0.013,24.3,5.7,0.35,0.11,0.003,0.6,0.25,0.23,0.8,9.9,7.8
Surface Water,0.17,91,1100,0.062,0.015,0.009,19.5,2.8,0.67,0.05,0.007,0.8,0.25,0.59,1,6.9,8.1
Bottom Water,0.14,79,500,0.096,0.014,0.013,19.6,3.2,0.51,0.03,0.006,0.9,0.25,0.4,1.2,6.0,8.2
Surface Water,0.15,95,30000,0.22,0.053,0.014,25.9,13,1.24,0.06,0.003,3.1,0.42,0.97,0.2,6.7,7.7
Bottom Water,0.14,64,38000,0.19,0.055,0.011,26.0,4.8,0.85,0.06,0.003,1.4,0.39,0.6,<0.2,4.4,7.7
Surface Water,0.15,115,3500,0.16,0.026,0.035,29.0,2.8,0.86,0.09,0.005,0.8,0.34,0.67,1.5,7.5,7.8
Bottom Water,0.21,70,7600,0.15,0.027,0.04,29.0,7.7,0.89,0.09,0.008,1.8,0.39,0.71,1,4.5,7.8
Surface Water,0.092,69,8100,0.053,0.006,0.014,26.4,16,0.59,0.06,<0.001,4,0.15,0.53,0.3,4.6,6.6
Bottom Water,0.083,65,6200,0.046,0.006,0.017,26.5,11,0.46,0.06,<0.001,2.6,0.14,0.41,0.3,4.4,6.6
Surface Water,0.31,106,6500,0.19,0.022,0.027,24.0,2.6,1.07,0.09,0.006,0.9,0.52,0.86,1,7.4,7.7
Bottom Water,0.26,66,1700,0.17,0.02,0.036,24.0,2.4,0.74,0.08,0.005,0.8,0.45,0.55,1.1,4.6,7.7
Surface Water,0.09,68,2800,0.059,0.004,0.014,21.7,8.7,0.44,0.03,0.002,1.6,0.15,0.38,1.4,4.9,7.7
Bottom Water,0.11,65,3600,0.068,0.005,0.015,21.7,9.2,0.63,0.05,0.002,1.7,0.18,0.56,1.6,4.7,7.7
Surface Water,0.21,91,16000,0.17,0.032,0.03,24.0,2.8,1.5,0.14,<0.001,0.6,0.41,1.3,2.7,6.3,6.9
Bottom Water,0.2,62,10000,0.17,0.031,0.035,24.3,1.2,0.78,0.06,<0.001,<0.5,0.4,0.58,2,4.3,7.0
Surface Water,0.097,101,1600,0.1,0.018,0.021,18.7,3.4,0.89,0.04,<0.001,1.1,0.22,0.77,1.6,7.8,7.2
Bottom Water,0.094,66,3800,0.095,0.018,0.022,18.6,3.1,0.76,0.05,<0.001,0.7,0.21,0.65,0.9,5.1,7.3
Surface Water,0.16,63,6700,0.13,0.011,0.014,24.9,11,0.83,0.04,0.008,2.5,0.3,0.69,0.5,4.3,8.1
Bottom Water,0.041,78,17000,0.16,0.01,0.023,24.9,8.3,0.86,0.05,0.002,2.3,0.21,0.69,0.3,5.4,8.1
Surface Water,0.11,87,6100,0.34,0.033,<0.002,28.8,3.6,0.62,0.05,0.007,1,0.48,0.25,10,5.8,8.0
Bottom Water,0.093,87,5600,0.33,0.03,<0.002,28.5,3,0.55,0.04,0.006,1.6,0.45,0.19,12,5.9,8.0
Surface Water,0.22,87,41000,0.32,0.031,0.034,26.0,3.4,0.63,0.07,0.002,1,0.57,0.28,4,6.1,7.3
Bottom Water,0.17,58,9500,0.27,0.033,0.024,25.7,9.9,0.56,0.06,0.002,2.3,0.47,0.26,4.3,4.0,7.4
Surface Water,0.11,67,10000,0.12,0.02,0.012,28.3,1.5,0.46,0.1,0.001,1.1,0.25,0.32,2.8,4.4,7.3
Bottom Water,0.054,79,1000,0.082,0.02,0.013,28.4,3,0.32,0.08,<0.001,0.7,0.16,0.22,2.5,5.1,7.3
Surface Water,0.077,58,25000,0.14,0.017,0.02,23.6,1.6,0.67,0.08,<0.001,0.7,0.23,0.51,0.8,4.1,7.1
Bottom Water,0.04,85,5200,0.092,0.016,0.02,23.5,3.2,0.7,0.08,<0.001,0.8,0.15,0.59,0.5,6.0,7.2
Surface Water,0.053,92,1200,0.18,0.021,0.015,16.9,2.7,0.9,0.06,<0.001,1.3,0.25,0.7,1.5,7.4,7.3
Bottom Water,0.05,83,760,0.2,0.021,0.019,17.1,1.1,0.94,0.06,<0.001,<0.5,0.27,0.72,1.8,6.6,7.3
Surface Water,0.086,103,9500,0.077,0.012,<0.002,20.7,3.6,0.57,0.06,<0.001,1.6,0.18,0.48,6.3,7.6,7.3
Bottom Water,0.065,107,2400,0.055,0.007,<0.002,20.6,2.8,0.7,0.06,<0.001,0.7,0.13,0.64,8.4,7.9,7.3
Surface Water,0.055,110,1600,0.1,0.009,0.005,26.9,4.3,0.87,0.07,0.005,1.1,0.16,0.76,12,7.4,8.3
