Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Silica (mg/L),Secchi Disc Depth (M),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),label
0,1.2,0.26,1.6,55.0,1100.0,3100,0.03,0.086,0.032,0.2,29.9,1.4,2.0,1.6,27.3,0.38,0.48,0.6,0.08,6.4,0.011,0.5,good for marine life
1,1.2,0.26,1.5,52.0,4300.0,13000,0.027,0.081,0.042,0.2,30.4,1.4,2.0,1.5,27.3,0.37,0.44,0.55,0.14,6.5,0.011,0.6,good for marine life
2,1.1,0.24,1.0,51.0,1800.0,5300,0.024,0.058,0.031,0.2,31.5,1.2,2.0,2.6,27.4,0.32,0.36,0.44,0.07,9.0,0.012,0.6,good for marine life
0,1.4,0.28,1.1,46.0,24000.0,63000,0.015,0.05,0.038,2.8,31.1,0.35,1.5,9.2,28.3,0.35,0.54,0.61,0.08,12.2,0.008,2.0,non consumable
1,1.4,0.25,0.3,48.0,14000.0,42000,0.016,0.053,0.019,3.9,31.1,0.38,1.5,11.0,28.3,0.32,0.57,0.64,0.08,14.0,0.007,2.6,good for marine life
2,2,0.3,0.5,50.0,13000.0,39000,0.016,0.05,0.025,6.9,31.1,0.44,1.5,16.0,28.3,0.37,0.58,0.65,0.1,19.2,0.008,2.9,good for marine life
0,0.9,0.32,4.3,57.0,6500.0,13000,0.024,0.064,0.054,0.2,31.5,0.33,2.0,3.8,25.9,0.41,0.63,0.72,0.07,7.9,0.014,1.0,good for marine life
1,1.1,0.32,4.7,56.0,5400.0,9800,0.036,0.075,0.037,0.4,31.5,0.35,2.0,3.8,25.9,0.43,0.56,0.67,0.07,7.7,0.014,1.3,good for marine life
2,1.4,0.29,4.3,58.0,9000.0,18000,0.02,0.06,0.032,1.4,31.6,0.38,2.0,7.0,25.9,0.37,0.55,0.63,0.08,9.5,0.014,1.5,good for marine life
0,2.2,0.3,1.0,58.0,42000.0,91000,0.042,0.13,0.059,1.9,31.7,0.91,2.0,6.2,21.6,0.47,0.51,0.68,0.09,8.0,0.011,1.8,good for marine life
1,1,0.27,1.5,59.0,5400.0,18000,0.04,0.13,0.052,0.2,31.6,0.99,2.0,4.9,21.6,0.44,0.44,0.61,0.07,8.6,0.01,1.2,good for marine life
2,0.7,0.22,0.7,60.0,1400.0,4300,0.036,0.12,0.046,1.0,31.8,1.0,2.0,5.6,21.5,0.38,0.39,0.55,0.06,8.9,0.009,1.0,good for marine life
0,2.4,0.44,2.5,62.0,77000.0,110000,0.044,0.16,0.035,0.2,32.0,1.3,2.5,4.0,17.9,0.64,0.72,0.92,0.09,14.1,0.005,1.7,good for marine life
1,1.2,0.41,2.9,66.0,33000.0,68000,0.037,0.2,0.039,0.2,32.2,1.2,2.5,3.8,17.9,0.65,0.62,0.86,0.08,13.8,0.005,1.3,drinkable
2,1.3,0.42,2.9,67.0,30000.0,45000,0.039,0.16,0.042,0.2,32.3,1.3,2.5,3.7,17.9,0.62,0.71,0.91,0.06,13.7,0.005,1.0,drinkable
0,2.8,0.19,1.6,76.0,37000.0,79000,0.012,0.046,0.017,1.1,33.2,0.44,1.0,3.0,16.3,0.25,0.63,0.69,0.07,10.0,0.003,1.9,drinkable
1,0.8,0.21,2.2,79.0,12000.0,24000,0.009,0.043,0.018,0.2,33.3,0.44,1.0,3.0,16.3,0.26,0.41,0.46,0.06,9.9,0.003,1.1,drinkable
2,0.5,0.21,1.5,80.0,9100.0,13000,0.01,0.042,0.014,0.6,33.3,0.46,1.0,3.5,16.3,0.26,0.53,0.58,0.05,10.6,0.003,1.2,drinkable
0,0.5,0.18,0.9,88.0,9000.0,13000,0.011,0.055,0.019,1.0,32.6,0.36,2.5,3.3,20.0,0.25,0.36,0.43,0.03,6.5,0.005,0.6,drinkable
1,1.3,0.19,1.1,85.0,250.0,400,0.011,0.054,0.011,1.1,32.7,0.25,2.5,4.1,19.9,0.26,0.38,0.45,0.04,6.9,0.005,0.9,drinkable
2,1.4,0.17,0.9,85.0,10000.0,25000,0.01,0.048,0.02,1.7,32.8,0.24,2.5,5.4,19.9,0.23,0.3,0.36,0.03,7.8,0.004,0.9,drinkable
0,0.7,0.28,0.4,72.0,15000.0,31000,0.021,0.12,0.019,0.7,32.2,1.1,1.5,5.8,22.2,0.42,0.47,0.61,0.05,8.7,0.01,0.8,drinkable
1,0.6,0.27,0.5,72.0,9600.0,30000,0.018,0.11,0.01,0.6,32.3,1.0,1.5,6.1,22.1,0.4,0.4,0.53,0.04,8.8,0.01,0.8,drinkable
2,0.6,0.26,0.8,73.0,3600.0,7500,0.019,0.1,0.014,0.2,32.4,0.88,1.5,7.2,22.1,0.38,0.38,0.5,0.04,8.4,0.01,0.9,drinkable
0,0.7,0.29,1.6,71.0,110.0,250,0.014,0.091,0.038,1.0,32.4,0.59,2.0,4.5,25.9,0.4,0.48,0.59,0.06,8.5,0.01,0.6,good for marine life
1,0.7,0.28,1.4,70.0,1900.0,3900,0.015,0.096,0.037,0.9,32.5,0.63,2.0,5.2,25.7,0.39,0.41,0.52,0.06,9.2,0.009,0.7,good for marine life
2,1,0.26,0.9,65.0,11000.0,31000,0.014,0.088,0.033,1.2,32.6,0.64,2.0,8.0,25.5,0.36,0.44,0.54,0.06,11.9,0.008,1.6,good for marine life
0,1.7,0.046,8.6,104.0,980.0,1400,0.02,0.06,0.031,4.8,32.1,0.11,3.0,3.0,27.4,0.13,0.24,0.32,0.03,6.3,0.003,1.1,drinkable
1,1.5,0.056,9.5,106.0,800.0,2900,0.019,0.06,0.002,4.6,32.1,0.09,3.0,3.2,27.4,0.14,0.2,0.28,0.02,6.4,0.004,1.2,drinkable
2,1.2,0.056,6.1,103.0,2000.0,6600,0.019,0.056,0.005,4.1,32.2,0.1,3.0,4.5,27.4,0.13,0.22,0.3,0.03,8.3,0.004,1.0,drinkable
0,3,0.012,21.0,131.0,1500.0,4000,0.043,0.25,0.004,5.0,25.3,0.17,1.0,3.4,27.5,0.31,0.27,0.56,0.03,7.6,0.001,1.6,drinkable
1,1.3,0.15,9.3,97.0,18000.0,43000,0.039,0.17,0.018,4.3,28.8,0.5,1.0,5.4,25.6,0.36,0.71,0.92,0.09,7.3,0.008,1.6,drinkable
2,0.7,0.064,3.2,60.0,8000.0,38000,0.029,0.072,0.013,1.5,33.3,0.75,1.0,5.4,22.7,0.17,0.19,0.29,0.04,8.4,0.002,1.1,good for marine life
0,1.5,0.09,9.7,78.0,16000.0,54000,0.014,0.081,0.006,7.0,30.8,0.25,1.2,9.6,25.8,0.19,0.31,0.41,0.05,10.5,0.004,2.3,drinkable
1,1.6,0.096,7.6,77.0,12000.0,38000,0.014,0.078,0.007,6.7,30.9,0.25,1.2,9.0,25.8,0.19,0.3,0.39,0.04,10.7,0.005,1.6,drinkable
2,1.4,0.097,8.6,74.0,13000.0,54000,0.013,0.068,0.008,5.0,31.0,0.33,1.2,11.0,25.8,0.18,0.3,0.38,0.04,11.6,0.005,2.0,good for marine life
0,3.8,0.01,28.0,157.0,4300.0,20000,0.015,0.12,0.002,22.0,28.8,0.05,1.5,6.0,26.9,0.15,0.38,0.52,0.04,7.5,0.001,1.7,drinkable
1,2.5,0.072,22.0,92.0,5200.0,9200,0.018,0.14,0.007,13.0,29.9,0.12,1.5,6.4,25.8,0.23,0.38,0.54,0.07,7.3,0.005,1.2,drinkable
2,0.9,0.077,6.7,34.0,6000.0,10000,0.014,0.13,0.018,3.9,32.8,1.3,1.5,6.2,23.2,0.22,0.24,0.38,0.04,7.5,0.003,1.3,non consumable
0,0.6,0.26,0.8,68.0,3400.0,10000,0.048,0.12,0.034,0.9,31.4,1.3,2.0,15.0,26.1,0.43,0.4,0.57,0.06,12.0,0.01,1.8,good for marine life
1,0.6,0.26,1.0,70.0,4000.0,10000,0.05,0.11,0.034,0.5,31.4,1.4,2.0,14.0,26.1,0.42,0.28,0.44,0.05,13.2,0.01,1.7,good for marine life
2,0.6,0.27,1.1,70.0,3500.0,10000,0.049,0.12,0.035,0.3,31.4,1.4,2.0,11.0,26.1,0.44,0.42,0.59,0.06,11.5,0.011,1.3,good for marine life
0,0.6,0.13,1.2,81.0,480.0,1200,0.047,0.055,0.027,0.2,32.1,0.91,3.0,4.8,24.3,0.23,0.29,0.39,0.05,10.5,0.008,0.8,drinkable
1,0.5,0.13,1.2,80.0,430.0,950,0.046,0.058,0.026,0.2,32.1,0.92,3.0,4.9,24.3,0.23,0.36,0.46,0.09,10.4,0.008,0.9,drinkable
2,0.5,0.13,0.9,81.0,1200.0,2500,0.046,0.053,0.026,0.2,32.1,0.91,3.0,4.7,24.3,0.23,0.25,0.35,0.07,10.4,0.009,0.8,drinkable
0,0.5,0.23,0.8,78.0,3100.0,5200,0.042,0.093,0.041,0.2,33.0,0.83,2.5,5.4,21.4,0.37,0.4,0.54,0.06,14.3,0.004,0.9,drinkable
1,0.6,0.23,0.8,81.0,4600.0,10000,0.042,0.091,0.039,0.2,33.0,0.86,2.5,6.2,21.4,0.36,0.43,0.56,0.06,14.4,0.004,0.9,drinkable
2,1.6,0.23,0.8,81.0,2800.0,7000,0.041,0.086,0.04,0.2,33.0,0.81,2.5,5.6,21.4,0.36,0.45,0.58,0.06,14.1,0.004,0.7,drinkable
0,2.8,0.26,1.7,88.0,35000.0,70000,0.019,0.067,0.045,0.2,32.5,0.6,2.2,3.0,17.1,0.35,0.51,0.6,0.08,7.8,0.006,1.4,drinkable
1,2.2,0.25,2.2,88.0,33000.0,64000,0.019,0.069,0.045,0.2,32.5,0.62,2.2,2.7,17.1,0.34,0.55,0.64,0.09,7.6,0.006,1.1,drinkable
2,1.6,0.2,2.5,88.0,14000.0,28000,0.018,0.06,0.037,0.2,32.6,0.84,2.2,2.8,17.1,0.28,0.47,0.55,0.07,7.7,0.005,1.0,drinkable
0,3.2,0.3,0.6,86.0,58000.0,120000,0.009,0.045,0.051,0.2,32.0,0.53,1.5,3.5,17.3,0.35,0.61,0.66,0.08,8.2,0.011,0.8,drinkable
1,1.4,0.22,0.4,85.0,3700.0,9500,0.009,0.038,0.034,0.2,32.2,0.59,1.5,2.4,17.3,0.27,0.38,0.43,0.04,7.3,0.008,0.5,drinkable
2,1.6,0.16,0.3,85.0,1600.0,2200,0.005,0.029,0.026,0.2,32.4,0.52,1.5,2.5,17.1,0.19,0.33,0.36,0.04,7.7,0.007,0.5,drinkable
0,1,0.17,0.3,88.0,950.0,1700,0.006,0.036,0.027,0.2,33.3,0.52,1.5,3.7,19.2,0.21,0.28,0.32,0.03,8.6,0.005,0.5,drinkable
1,1.8,0.19,0.2,87.0,14000.0,32000,0.006,0.038,0.03,0.2,33.4,0.49,1.5,4.6,19.2,0.23,0.34,0.38,0.04,8.8,0.006,0.8,drinkable
2,1.2,0.16,0.4,85.0,4100.0,7800,0.006,0.034,0.026,0.2,33.4,0.5,1.5,5.0,19.2,0.2,0.25,0.29,0.03,8.3,0.005,0.6,drinkable
0,1.1,0.34,0.5,71.0,12000.0,24000,0.024,0.14,0.052,0.2,32.4,1.0,2.0,6.0,21.0,0.5,0.46,0.62,0.06,9.6,0.01,0.9,drinkable
1,1.2,0.34,0.6,76.0,15000.0,37000,0.021,0.14,0.055,0.2,32.5,0.99,2.0,6.2,20.9,0.5,0.51,0.67,0.07,9.8,0.01,1.0,drinkable
2,1.4,0.34,0.3,74.0,16000.0,29000,0.022,0.13,0.056,0.2,32.6,0.96,2.0,9.3,20.8,0.49,0.49,0.64,0.07,10.9,0.01,1.5,drinkable
0,1.6,0.19,5.9,78.0,1900.0,4900,0.018,0.17,0.031,1.6,31.0,0.77,1.7,3.6,27.3,0.38,0.42,0.61,0.05,8.2,0.01,1.1,drinkable
1,1.2,0.18,3.1,71.0,3200.0,13000,0.02,0.15,0.028,0.9,31.2,0.73,1.7,4.4,27.0,0.35,0.36,0.53,0.05,8.2,0.009,1.0,good for marine life
2,1,0.16,2.3,71.0,2100.0,11000,0.017,0.12,0.012,0.7,31.7,0.61,1.7,4.4,26.8,0.3,0.31,0.45,0.04,8.0,0.009,0.8,good for marine life
0,0.7,0.24,1.5,63.0,2200.0,4400,0.015,0.1,0.034,0.2,32.3,0.84,1.6,7.0,26.6,0.36,0.38,0.5,0.06,9.8,0.011,1.1,good for marine life
1,0.9,0.24,1.2,61.0,14000.0,25000,0.017,0.09,0.035,0.2,32.4,0.81,1.6,6.3,26.6,0.35,0.4,0.51,0.06,9.8,0.011,1.0,good for marine life
2,0.9,0.23,0.9,60.0,7200.0,13000,0.02,0.076,0.034,0.5,32.6,0.78,1.6,8.6,26.5,0.33,0.39,0.49,0.05,10.6,0.011,1.3,good for marine life
0,3,0.086,34.0,100.0,760.0,2000,0.043,0.25,0.015,5.7,27.1,0.92,1.8,4.4,26.0,0.38,0.39,0.68,0.05,5.2,0.008,1.9,drinkable
1,2.5,0.065,26.0,95.0,11000.0,27000,0.045,0.24,0.018,4.2,27.9,1.0,1.8,4.9,25.7,0.35,0.33,0.62,0.04,5.0,0.005,1.3,drinkable
2,1.2,0.063,8.2,53.0,16000.0,34000,0.034,0.14,0.026,2.2,33.1,1.1,1.8,5.0,23.0,0.24,0.27,0.44,0.04,5.9,0.003,1.1,good for marine life
0,1.7,0.11,14.0,75.0,260.0,1100,0.031,0.15,0.024,2.7,31.6,0.17,4.1,2.7,26.8,0.29,0.38,0.56,0.06,6.0,0.007,1.1,good for marine life
1,1.2,0.12,12.0,73.0,1200.0,5400,0.032,0.15,0.023,2.7,31.8,0.2,4.1,2.5,26.5,0.3,0.36,0.54,0.06,5.6,0.007,1.1,good for marine life
2,1,0.14,8.5,54.0,830.0,2600,0.021,0.13,0.029,1.6,32.6,0.46,4.1,2.2,25.9,0.29,0.32,0.47,0.05,9.0,0.007,0.8,good for marine life
0,1,0.21,0.4,74.0,26000.0,63000,0.057,0.17,0.041,0.2,30.4,1.4,2.7,3.2,27.6,0.44,0.37,0.6,0.07,8.3,0.011,1.0,good for marine life
1,0.8,0.2,0.7,75.0,14000.0,39000,0.056,0.17,0.039,0.5,30.8,1.4,2.7,2.8,27.6,0.43,0.34,0.57,0.06,8.0,0.01,0.8,good for marine life
2,2.4,0.27,0.8,71.0,200000.0,450000,0.044,0.15,0.054,1.3,31.3,1.4,2.7,5.5,27.3,0.46,0.56,0.75,0.1,10.4,0.013,2.4,good for marine life
0,0.8,0.27,1.9,61.0,1300.0,3400,0.049,0.091,0.052,0.2,32.4,1.2,2.9,7.2,26.7,0.41,0.44,0.58,0.07,10.9,0.014,1.0,good for marine life
1,0.9,0.27,1.4,63.0,2200.0,4800,0.051,0.088,0.051,0.2,32.4,1.2,2.9,6.6,26.7,0.41,0.43,0.57,0.07,10.8,0.014,0.6,good for marine life
2,0.9,0.27,1.4,63.0,2800.0,5100,0.049,0.091,0.052,0.2,32.4,1.2,2.9,8.6,26.7,0.41,0.47,0.61,0.07,11.3,0.014,1.4,good for marine life
0,0.5,0.17,1.9,72.0,1700.0,3100,0.031,0.079,0.036,0.2,32.5,0.69,2.3,3.6,25.5,0.28,0.29,0.4,0.05,8.7,0.008,0.8,good for marine life
1,0.6,0.17,1.8,74.0,2000.0,4000,0.031,0.077,0.036,0.2,32.5,0.69,2.3,4.0,25.5,0.28,0.31,0.42,0.04,8.8,0.008,0.8,good for marine life
2,0.9,0.16,1.6,75.0,15000.0,25000,0.03,0.074,0.034,0.2,32.6,0.65,2.3,4.7,25.5,0.26,0.29,0.39,0.04,9.6,0.008,1.0,drinkable
0,1,0.16,1.3,65.0,6600.0,12000,0.04,0.091,0.041,0.2,33.2,1.1,3.8,3.4,22.1,0.29,0.35,0.48,0.06,8.8,0.007,0.8,good for marine life
1,1,0.17,1.2,69.0,3000.0,4300,0.04,0.093,0.04,0.2,33.2,1.1,3.8,4.0,22.0,0.3,0.35,0.48,0.06,9.3,0.008,0.8,good for marine life
2,1,0.14,1.0,69.0,900.0,2200,0.039,0.082,0.038,0.2,33.3,1.1,3.8,7.1,22.0,0.26,0.36,0.48,0.06,11.6,0.007,1.2,good for marine life
0,0.9,0.1,5.0,88.0,16000.0,35000,0.007,0.03,0.024,1.0,33.1,0.21,3.5,2.2,18.5,0.14,0.3,0.34,0.04,7.7,0.004,1.0,drinkable
1,0.9,0.098,5.0,95.0,4900.0,9500,0.006,0.028,0.021,1.0,33.2,0.17,3.5,2.3,18.5,0.13,0.26,0.29,0.04,7.3,0.004,0.9,drinkable
2,1.8,0.084,4.3,98.0,1600.0,2400,0.005,0.025,0.018,1.6,33.2,0.18,3.5,2.2,18.4,0.11,0.21,0.24,0.03,7.3,0.004,1.0,drinkable
0,1.6,0.19,0.5,79.0,13000.0,25000,0.022,0.082,0.038,0.2,33.2,0.75,2.6,4.2,16.1,0.29,0.42,0.52,0.06,9.2,0.004,1.1,drinkable
1,1.2,0.18,0.5,75.0,6000.0,10000,0.022,0.076,0.034,0.2,33.3,0.73,2.6,4.4,16.0,0.28,0.37,0.47,0.05,8.8,0.004,0.8,drinkable
2,1,0.18,0.5,73.0,3000.0,3700,0.021,0.077,0.033,0.2,33.3,0.77,2.6,5.1,15.9,0.28,0.36,0.46,0.05,9.2,0.004,0.9,drinkable
0,1,0.31,0.4,71.0,3300.0,4800,0.019,0.096,0.048,0.2,33.6,0.72,1.4,9.4,19.9,0.43,0.44,0.56,0.07,8.3,0.008,1.1,drinkable
1,0.9,0.31,0.5,71.0,3200.0,4700,0.019,0.1,0.052,0.2,33.6,0.72,1.4,10.0,19.9,0.43,0.49,0.61,0.08,8.9,0.008,1.1,drinkable
2,1,0.31,0.7,71.0,1600.0,2200,0.019,0.1,0.047,0.2,33.6,0.73,1.4,12.0,19.9,0.43,0.5,0.62,0.08,9.4,0.008,1.2,drinkable
0,0.7,0.12,0.9,106.0,3000.0,6000,0.009,0.04,0.025,0.2,33.6,0.32,2.7,3.1,22.9,0.17,0.24,0.29,0.04,8.3,0.006,0.7,drinkable
1,0.6,0.1,0.8,119.0,2200.0,5000,0.008,0.036,0.022,0.3,33.7,0.31,2.7,4.0,22.9,0.14,0.19,0.23,0.04,8.7,0.005,0.8,drinkable
2,0.4,0.076,0.6,87.0,1500.0,4900,0.006,0.027,0.018,0.3,33.7,0.26,2.7,3.6,22.9,0.11,0.13,0.16,0.03,8.5,0.004,0.8,drinkable
0,0.8,0.15,2.9,73.0,1200.0,1500,0.021,0.074,0.036,1.7,33.1,0.36,1.8,4.1,26.1,0.25,0.27,0.37,0.05,9.0,0.007,1.0,good for marine life
1,0.4,0.15,2.3,71.0,2000.0,3000,0.016,0.074,0.033,1.1,33.2,0.41,1.8,6.4,26.1,0.24,0.22,0.31,0.04,9.8,0.007,1.0,good for marine life
2,0.4,0.15,1.5,72.0,2500.0,4400,0.015,0.073,0.033,0.8,33.2,0.46,1.8,8.0,26.0,0.24,0.23,0.32,0.05,11.1,0.006,0.8,good for marine life
0,1,0.2,5.2,73.0,4100.0,8000,0.016,0.083,0.035,2.6,32.6,0.3,2.7,8.4,28.1,0.3,0.33,0.43,0.05,10.7,0.01,2.2,good for marine life
1,1.1,0.22,3.4,76.0,18000.0,46000,0.016,0.084,0.042,2.9,32.6,0.38,2.7,11.0,28.0,0.32,0.39,0.49,0.07,12.8,0.011,1.8,good for marine life
2,1,0.21,2.9,69.0,9700.0,18000,0.018,0.082,0.04,2.3,32.6,0.38,2.7,13.0,28.0,0.31,0.41,0.51,0.06,13.7,0.01,2.6,good for marine life
0,0.8,0.16,3.7,66.0,6500.0,21000,0.054,0.3,0.027,0.9,27.0,1.6,2.1,3.5,25.9,0.51,0.27,0.62,0.04,8.8,0.006,0.9,good for marine life
1,1.8,0.16,1.7,65.0,45000.0,66000,0.05,0.21,0.031,1.2,28.3,1.3,2.1,4.2,25.4,0.42,0.33,0.59,0.06,8.4,0.006,1.4,good for marine life
2,0.8,0.14,0.7,64.0,12000.0,27000,0.041,0.12,0.028,1.0,30.3,1.1,2.1,9.0,24.7,0.3,0.26,0.42,0.05,10.1,0.005,2.5,good for marine life
0,1.1,0.17,13.0,71.0,1600.0,6900,0.026,0.19,0.026,3.4,28.7,0.71,2.0,2.9,26.9,0.39,0.31,0.53,0.03,7.8,0.008,1.3,good for marine life
1,1.1,0.18,12.0,69.0,5600.0,11000,0.026,0.18,0.027,2.9,28.9,0.75,2.0,2.1,26.7,0.39,0.32,0.53,0.04,8.2,0.008,1.1,good for marine life
2,1,0.19,3.8,69.0,24000.0,53000,0.021,0.12,0.046,1.6,30.9,1.3,2.0,4.2,25.0,0.33,0.31,0.45,0.06,9.6,0.006,1.1,good for marine life
0,3.2,0.3,10.0,68.0,6800.0,11000,0.015,0.065,0.064,2.5,31.3,1.4,2.0,3.7,26.7,0.38,0.51,0.59,0.08,9.4,0.02,1.7,good for marine life
1,2,0.28,6.5,66.0,12000.0,19000,0.015,0.064,0.061,2.3,31.3,1.4,2.0,3.0,26.7,0.36,0.47,0.55,0.08,8.9,0.018,1.5,good for marine life
2,1.6,0.21,3.0,66.0,16000.0,35000,0.013,0.058,0.042,0.6,31.5,1.5,2.0,4.2,26.6,0.28,0.41,0.48,0.05,8.8,0.013,1.3,good for marine life
0,0.7,0.3,1.0,61.0,6600.0,18000,0.025,0.06,0.046,0.2,32.4,1.2,2.2,6.4,27.5,0.39,0.4,0.49,0.07,10.9,0.017,1.1,good for marine life
1,0.8,0.33,0.9,59.0,12000.0,26000,0.025,0.058,0.048,0.2,32.4,1.2,2.2,6.8,27.5,0.41,0.58,0.66,0.06,10.9,0.019,1.3,good for marine life
2,1,0.33,1.3,58.0,15000.0,27000,0.025,0.057,0.049,0.2,32.4,1.2,2.2,6.2,27.5,0.41,0.61,0.69,0.06,11.2,0.019,1.4,good for marine life
0,1,0.23,1.0,72.0,16000.0,42000,0.02,0.086,0.039,0.2,32.5,0.65,1.9,3.6,24.1,0.34,0.46,0.57,0.06,10.3,0.009,0.7,good for marine life
1,1,0.22,1.0,67.0,14000.0,29000,0.02,0.085,0.039,0.2,32.5,0.65,1.9,6.1,24.1,0.33,0.41,0.52,0.06,10.2,0.008,1.2,good for marine life
2,1,0.22,1.0,68.0,10000.0,32000,0.02,0.085,0.04,0.2,32.5,0.66,1.9,6.7,24.1,0.33,0.43,0.54,0.06,10.8,0.008,1.4,good for marine life
0,1,0.14,0.8,71.0,14000.0,29000,0.045,0.098,0.039,0.2,32.9,0.87,1.5,5.4,22.7,0.28,0.3,0.44,0.06,10.6,0.005,1.0,good for marine life
1,1.2,0.15,0.8,70.0,8200.0,15000,0.045,0.098,0.039,0.4,32.8,0.9,1.5,6.0,22.7,0.29,0.33,0.47,0.06,10.7,0.006,1.6,good for marine life
2,0.9,0.14,0.6,68.0,5000.0,9400,0.046,0.099,0.038,0.3,32.9,0.88,1.5,8.1,22.6,0.29,0.3,0.45,0.06,11.0,0.005,1.4,good for marine life
0,1.3,0.19,1.0,70.0,9000.0,28000,0.021,0.14,0.045,0.2,32.3,0.82,2.0,1.9,16.9,0.35,0.5,0.66,0.07,8.8,0.005,0.8,drinkable
1,1.4,0.19,0.7,68.0,8500.0,14000,0.021,0.14,0.045,0.2,32.5,0.82,2.0,1.4,16.8,0.35,0.49,0.65,0.07,8.7,0.005,1.4,drinkable
2,1.2,0.17,0.8,69.0,4400.0,9500,0.021,0.13,0.042,0.2,32.5,0.81,2.0,1.8,16.8,0.32,0.47,0.62,0.06,8.7,0.005,0.7,drinkable
0,2.4,0.29,0.9,79.0,57000.0,90000,0.017,0.17,0.055,0.2,31.7,0.91,2.2,1.6,17.6,0.48,0.63,0.82,0.09,8.3,0.007,0.9,drinkable
1,0.7,0.19,1.0,79.0,900.0,1700,0.016,0.16,0.04,0.2,31.9,0.91,2.2,1.0,17.4,0.37,0.33,0.51,0.06,7.5,0.003,0.6,drinkable
2,0.7,0.17,0.6,77.0,1200.0,2100,0.015,0.16,0.04,0.2,32.0,0.92,2.2,2.6,17.3,0.35,0.35,0.53,0.05,8.6,0.004,0.5,drinkable
0,1.2,0.12,0.8,83.0,16000.0,22000,0.022,0.12,0.031,0.2,32.5,0.67,2.3,1.7,15.9,0.26,0.3,0.44,0.04,8.8,0.004,0.5,drinkable
1,1.9,0.13,0.7,82.0,39000.0,77000,0.02,0.12,0.033,0.2,32.5,0.68,2.3,4.0,15.9,0.27,0.39,0.53,0.05,9.0,0.005,1.0,drinkable
2,1.2,0.12,0.9,81.0,20000.0,38000,0.02,0.11,0.03,0.2,32.5,0.66,2.3,2.2,15.9,0.25,0.31,0.44,0.04,8.9,0.004,0.5,drinkable
0,1.2,0.25,0.9,73.0,12000.0,25000,0.021,0.1,0.041,0.2,32.9,0.67,2.1,2.6,18.8,0.37,0.4,0.52,0.05,5.9,0.009,0.9,drinkable
1,1.3,0.25,0.7,73.0,26000.0,41000,0.021,0.1,0.041,0.2,32.9,0.68,2.1,2.5,18.8,0.37,0.41,0.53,0.06,6.2,0.009,1.0,drinkable
2,1.1,0.24,0.8,72.0,8000.0,19000,0.021,0.097,0.039,0.2,32.9,0.67,2.1,5.0,18.8,0.36,0.39,0.51,0.06,7.0,0.008,0.5,drinkable
0,0.9,0.28,1.3,72.0,6600.0,18000,0.047,0.32,0.034,0.2,30.4,1.3,2.3,0.7,24.5,0.65,0.41,0.78,0.06,4.8,0.015,0.5,drinkable
1,1,0.3,1.0,68.0,22000.0,27000,0.043,0.3,0.038,0.2,30.7,1.2,2.3,2.4,24.4,0.64,0.46,0.8,0.06,5.1,0.015,1.0,good for marine life
2,1,0.28,0.9,68.0,7300.0,14000,0.043,0.3,0.038,0.3,30.8,1.2,2.3,2.1,24.4,0.62,0.38,0.72,0.05,5.4,0.014,0.5,good for marine life
0,1.1,0.17,1.8,73.0,16000.0,36000,0.038,0.33,0.026,1.6,28.6,1.3,1.3,3.4,26.8,0.54,0.34,0.71,0.05,11.3,0.013,1.0,good for marine life
1,1,0.19,1.4,71.0,22000.0,37000,0.035,0.29,0.029,1.4,29.0,1.2,1.3,4.3,26.8,0.52,0.33,0.66,0.04,11.6,0.014,1.0,good for marine life
2,0.9,0.18,1.4,70.0,16000.0,36000,0.035,0.28,0.028,1.5,29.1,1.2,1.3,4.8,26.8,0.5,0.35,0.67,0.05,12.0,0.013,0.8,good for marine life
0,1.8,0.12,8.9,85.0,1300.0,3200,0.049,0.36,0.018,2.1,22.4,2.1,2.4,2.2,27.1,0.53,0.28,0.69,0.03,10.0,0.01,1.0,drinkable
1,1,0.16,5.9,72.0,5100.0,11000,0.038,0.26,0.028,0.8,28.3,1.7,2.4,3.6,25.0,0.46,0.27,0.57,0.04,10.3,0.007,0.7,drinkable
2,1.1,0.18,2.4,46.0,22000.0,61000,0.025,0.14,0.038,0.5,31.3,1.3,2.4,5.2,23.4,0.35,0.36,0.53,0.07,12.6,0.006,1.4,good for marine life
0,1.4,0.056,9.4,89.0,360.0,1100,0.008,0.042,0.008,2.6,31.3,0.13,3.1,2.3,26.0,0.11,0.22,0.27,0.03,4.8,0.005,1.0,drinkable
1,1.5,0.056,9.0,90.0,3300.0,15000,0.008,0.042,0.008,2.3,31.4,0.14,3.1,2.2,25.7,0.11,0.22,0.27,0.03,4.8,0.005,0.8,drinkable
