Depth,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Phaeo-pigments (μg/L),Salinity (psu),Silica (mg/L),Secchi Disc Depth (M),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),label
1,0.6,0.075,2.9,46.0,7400.0,8200,0.057,0.047,0.022,2.7,33.8,0.88,0.9,4.5,21.3,0.18,0.23,0.33,0.04,8.5,0.004,1.0,good for marine life
2,0.5,0.085,2.1,45.0,6700.0,7000,0.057,0.046,0.026,2.0,33.9,0.9,0.9,7.0,21.2,0.19,0.25,0.35,0.03,9.0,0.004,1.5,good for marine life
0,3.3,0.006,32.0,121.0,4000.0,4400,0.01,0.12,0.008,18.0,28.7,0.05,2.2,9.5,26.1,0.14,0.56,0.69,0.08,8.0,0.001,2.0,drinkable
1,3,0.008,28.0,47.0,3700.0,6400,0.018,0.13,0.005,11.0,33.9,0.16,2.2,13.0,22.5,0.16,0.61,0.76,0.08,8.7,0.001,2.0,good for marine life
2,1.8,0.008,23.0,52.0,4700.0,5100,0.006,0.13,0.011,5.6,34.2,0.63,2.2,25.0,22.3,0.14,0.53,0.67,0.08,20.0,0.001,2.5,good for marine life
0,1.5,0.027,3.6,79.0,1100.0,1200,0.005,0.018,0.005,1.6,31.5,0.05,1.6,3.0,26.4,0.05,0.29,0.31,0.03,3.7,0.003,1.0,drinkable
1,0.8,0.05,5.1,67.0,2000.0,2000,0.005,0.018,0.005,1.7,32.6,0.31,1.6,4.5,26.4,0.07,0.31,0.33,0.02,6.0,0.006,1.0,good for marine life
2,0.1,0.06,1.5,,800.0,900,0.007,0.015,0.005,0.5,,0.49,1.6,6.5,,0.08,0.32,0.34,0.03,7.9,,1.0,non consumable
0,0.7,0.32,1.5,62.0,2500.0,3500,0.012,0.037,0.048,1.1,31.6,1.2,,3.0,26.8,0.37,0.65,0.7,0.11,2.8,0.024,0.5,good for marine life
1,0.7,0.3,1.0,58.0,4600.0,5300,0.012,0.034,0.043,0.9,31.6,1.2,,2.5,26.5,0.35,0.53,0.58,0.07,3.3,0.023,0.5,good for marine life
2,0.4,0.15,0.8,74.0,2500.0,2900,0.015,0.034,0.029,0.8,31.9,1.2,,5.0,26.0,0.2,0.49,0.54,0.08,4.1,0.013,1.5,drinkable
0,1.4,0.24,0.6,59.0,1000.0,1100,0.021,0.05,0.036,0.2,32.4,1.2,2.0,3.0,24.2,0.31,0.38,0.45,0.06,5.5,0.016,1.5,good for marine life
1,1.2,0.21,0.4,73.0,900.0,900,0.021,0.065,0.03,0.2,32.6,1.2,2.0,2.0,24.0,0.3,0.34,0.43,0.03,5.0,0.014,1.0,drinkable
2,1.3,0.24,1.0,76.0,1000.0,1100,0.021,0.065,0.035,0.2,32.6,1.2,2.0,1.0,23.9,0.33,0.4,0.49,0.04,4.0,0.012,1.0,drinkable
0,0.3,0.28,0.2,58.0,3400.0,3500,0.028,0.075,0.043,0.2,32.1,1.3,2.2,5.5,23.0,0.38,0.63,0.73,0.07,8.2,0.011,1.5,good for marine life
1,0.4,0.22,0.6,65.0,900.0,1100,0.024,0.074,0.035,0.2,32.2,1.2,2.2,8.0,22.8,0.32,0.49,0.59,0.06,13.5,0.009,1.5,good for marine life
2,0.5,0.22,0.8,70.0,900.0,1600,0.024,0.075,0.037,0.2,32.3,1.3,2.2,9.5,22.7,0.32,0.44,0.54,0.06,9.6,0.009,2.5,good for marine life
0,0.5,0.34,0.8,58.0,1000.0,1200,0.021,0.11,0.049,0.2,31.1,1.5,2.6,2.5,21.5,0.47,0.56,0.69,0.06,4.0,0.013,0.5,good for marine life
1,0.7,0.36,0.2,57.0,1400.0,1400,0.022,0.12,0.05,0.3,31.2,1.6,2.6,3.0,21.3,0.5,0.67,0.81,0.08,3.7,0.013,0.5,good for marine life
2,0.4,0.33,0.2,54.0,1300.0,1400,0.02,0.12,0.05,0.6,31.2,1.5,2.6,3.0,21.3,0.47,0.55,0.69,0.06,3.2,0.013,1.0,good for marine life
0,1.1,0.34,3.4,56.0,600.0,700,0.025,0.14,0.04,0.9,31.0,1.2,,4.5,20.2,0.51,0.77,0.94,0.07,4.0,0.013,1.5,good for marine life
1,0.6,0.32,2.7,57.0,500.0,600,0.025,0.14,0.055,0.9,31.0,1.1,,3.5,20.2,0.49,0.87,1.04,0.08,4.5,0.013,1.0,good for marine life
2,0.7,0.32,2.7,60.0,500.0,500,0.026,0.14,0.053,1.6,31.1,1.2,,4.0,20.0,0.49,0.76,0.93,0.08,3.5,0.013,1.5,good for marine life
0,0.8,0.38,1.0,57.0,700.0,700,0.021,0.083,0.06,0.2,,0.57,2.3,3.5,19.1,0.48,0.87,0.97,0.09,3.6,,0.5,good for marine life
1,0.5,0.38,0.4,58.0,300.0,600,0.021,0.08,0.062,0.2,,0.59,2.3,3.5,19.0,0.48,0.69,0.79,0.09,3.3,,1.0,good for marine life
2,0.4,0.37,0.6,61.0,500.0,600,0.021,0.077,0.061,0.2,,0.61,2.3,4.0,19.0,0.47,0.86,0.96,0.09,3.5,,1.0,good for marine life
0,1.4,0.25,0.8,69.0,1100.0,1200,0.018,0.067,0.042,0.3,31.6,0.9,2.5,4.5,18.7,0.34,0.68,0.77,0.08,3.2,0.011,1.0,drinkable
1,1,0.24,0.6,74.0,1000.0,1100,0.019,0.066,0.039,0.4,31.8,0.7,2.5,5.0,18.4,0.33,0.62,0.71,0.06,3.4,0.011,1.5,drinkable
2,1,0.21,0.7,82.0,1100.0,1200,0.017,0.061,0.041,0.2,31.9,0.87,2.5,6.0,18.3,0.29,0.9,0.98,0.08,4.8,0.01,1.0,drinkable
0,0.8,0.19,0.8,69.0,100.0,400,0.02,0.084,0.035,0.2,31.6,1.3,1.9,4.0,17.9,0.29,0.54,0.64,0.06,4.3,0.01,1.0,drinkable
1,0.9,0.18,0.6,69.0,2300.0,2800,0.019,0.083,0.03,0.2,31.6,1.1,1.9,5.0,17.6,0.28,0.46,0.56,0.06,5.8,0.009,1.0,drinkable
2,0.7,0.13,0.3,70.0,1900.0,2100,0.019,0.082,0.028,0.4,31.6,1.1,1.9,5.0,17.5,0.23,0.48,0.58,0.06,5.2,0.007,1.0,drinkable
0,1,0.33,0.2,66.0,4300.0,5000,0.021,0.1,0.05,1.9,31.3,1.2,2.0,4.5,16.4,0.45,0.71,0.83,0.09,3.2,0.008,2.0,drinkable
1,0.9,0.25,0.2,71.0,7000.0,7900,0.019,0.11,0.061,2.9,31.4,1.2,2.0,3.0,16.3,0.38,0.57,0.7,0.09,2.7,0.007,1.0,drinkable
2,0.7,0.22,0.2,72.0,6200.0,7200,0.019,0.1,0.037,1.7,31.5,1.2,2.0,4.0,16.3,0.34,0.51,0.63,0.07,3.2,0.007,1.5,drinkable
0,1,0.14,2.5,80.0,11000.0,12000,0.017,0.11,0.023,0.6,31.5,1.1,2.7,2.0,15.3,0.27,0.47,0.6,0.05,4.5,0.004,1.0,drinkable
1,1,0.048,1.5,84.0,8400.0,84000,0.015,0.1,0.019,0.8,31.7,0.97,2.7,3.5,15.2,0.16,0.38,0.5,0.04,4.0,0.002,1.0,drinkable
