"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Silica (mg/L)","Secchi Disc Depth (M)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1992-01-07","1","Surface Water","3.4","6.54","0.3","67","5.9","60000","100000","0.194","0.355","0.78","6.2","1.8","20.1","6.51","0.4","33","17.2","7.09","7.97","8.52","1.1","28","0.018","4.5"
"Deep Bay","DM1","1992-02-10","1","Surface Water","2.5","3.46","<0.2","82","6","3500","4000","0.22","0.17","0.485","7.6","1.7","24.9","1.86","0.9","12","9.8","3.85","3.62","4.01","0.79","11","0.022","2"
"Deep Bay","DM1","1992-03-25","1","Surface Water","1.1","0.046","0.5","92","7.4","14000","14000","0.319","1.46","0.128","8","0.4","22.7","4.24","0.5","38","21","1.83","0.66","2.44","0.4","32","0.001","4.5"
"Deep Bay","DM1","1992-04-22","1","Surface Water","0.9","0.237","<0.2","80","6.1","2000","2000","0.679","0.28","0.113","7.9","1.1","15.7","5.1","0.6","16","23.7","1.2","0.52","1.48","0.24","14","0.01","2"
"Deep Bay","DM1","1992-05-22","1","Surface Water","1","2.01","1.1","50","3.5","4500","5000","0.592","0.081","0.375","7.6","0.4","12","6.29","0.5","17","25.3","2.68","2.05","2.72","0.9","13","0.041","2"
"Deep Bay","DM1","1992-06-19","1","Surface Water","1.1","1.49","0.5","55","4","9000","9000","0.581","0.156","0.356","7.5","5.8","6.7","7.67","0.4","31","28.9","2.23","1.93","2.67","0.76","24","0.031","5.5"
"Deep Bay","DM1","1992-07-20","1","Surface Water","1.7","1.43","<0.2","38","2.8","8000","8500","1.04","0.101","0.093","6.7","5.2","6.1","6","0.2","40","28","2.57","1.58","2.72","0.9","32","0.005","6"
"Deep Bay","DM1","1992-08-17","1","Surface Water","2.2","1.59","2.1","49","3.4","1000","1000","0.744","0.322","0.24","7.4","1.6","17.3","3.88","0.2","20","29.7","2.66","2.5","3.57","0.45","37","0.028","5.5"
"Deep Bay","DM1","1992-09-16","1","Surface Water","1.5","1.85","0.5","40","2.7","2800","3700","2.07","0.682","0.054","7.6","8.8","14.3","7.22","0.4","36","30.8","4.6","2.76","5.51","0.64","45","0.054","3.5"
"Deep Bay","DM1","1992-10-12","1","Surface Water","1.9","2.46","8.5","70","5.5","500","500","0.258","0.097","0.209","7.7","5.7","23.4","4.8","0.3","38","20.4","2.82","3.2","3.56","0.54","30","0.042","4.5"
